weapon_name,skin_name,pattern,fade_percentage,fade_rank
AWP,Fade,46,81.44578,918
AWP,Fade,146,99.76504,8
AWP,Fade,791,97.45053,130
AWP,Fade,636,80.01948,998
AWP,Fade,51,87.8481,605
AWP,Fade,813,82.13228,887
AWP,Fade,824,80.769585,950
AWP,Fade,745,80.86779,943
AWP,Fade,173,82.16667,882
AWP,Fade,619,87.50247,624
Glock-18,Fade,345,98.797516,68
Glock-18,Fade,378,81.52929,917
Glock-18,Fade,495,90.48341,479
Glock-18,Fade,533,92.79391,363
Glock-18,Fade,318,94.11473,303
Glock-18,Fade,315,83.64988,816
Glock-18,Fade,947,93.591,326
Glock-18,Fade,851,95.40575,248
Glock-18,Fade,856,98.990776,63
Glock-18,Fade,507,85.37067,734
Glock-18,Fade,239,91.04325,453
Glock-18,Fade,450,86.33011,684
Glock-18,Fade,930,83.11073,840
Glock-18,Fade,332,80.5162,978
Glock-18,Fade,11,98.31712,90
Glock-18,Fade,576,99.49058,29
Glock-18,Fade,848,99.44982,32
Glock-18,Fade,657,98.395096,88
Glock-18,Fade,834,99.40328,36
Glock-18,Fade,103,96.905396,167
Glock-18,Fade,8,81.42647,927
Glock-18,Fade,526,87.02924,642
Glock-18,Fade,381,97.57361,135
Glock-18,Fade,965,90.27661,488
Glock-18,Fade,294,93.929756,314
Glock-18,Fade,301,93.96095,311
Glock-18,Fade,973,87.6253,610
Glock-18,Fade,296,85.051445,748
Glock-18,Fade,401,98.27122,92
Glock-18,Fade,830,92.214226,394
Glock-18,Fade,438,84.206314,788
Glock-18,Fade,447,97.844086,117
Glock-18,Fade,470,93.83945,318
Glock-18,Fade,989,83.500145,824
Glock-18,Fade,959,81.78701,902
Glock-18,Fade,147,99.14938,58
Glock-18,Fade,543,91.32084,437
Glock-18,Fade,970,92.43414,384
Glock-18,Fade,905,92.430855,385
Glock-18,Fade,944,99.49277,28
Glock-18,Fade,361,96.387886,189
Glock-18,Fade,735,93.412575,334
Glock-18,Fade,584,94.33117,291
Glock-18,Fade,323,94.64459,276
Glock-18,Fade,22,96.132324,207
Glock-18,Fade,814,92.29064,390
Glock-18,Fade,41,99.75568,17
Glock-18,Fade,87,99.85692,13
Glock-18,Fade,997,81.7639,905
Glock-18,Fade,193,86.54814,672
Glock-18,Fade,599,98.52898,85
Glock-18,Fade,968,98.66997,78
Glock-18,Fade,487,96.09952,210
Glock-18,Fade,455,98.22597,97
Glock-18,Fade,888,92.08,398
Glock-18,Fade,258,85.73967,710
Glock-18,Fade,712,98.20456,98
Glock-18,Fade,745,99.13221,59
Glock-18,Fade,707,91.80583,411
Glock-18,Fade,696,81.64376,912
Glock-18,Fade,311,85.2614,738
Glock-18,Fade,269,85.1593,742
Glock-18,Fade,671,89.992134,504
Glock-18,Fade,956,98.77781,71
Glock-18,Fade,880,91.53424,422
Glock-18,Fade,264,91.01464,456
Glock-18,Fade,622,90.31136,486
Glock-18,Fade,30,97.320015,148
Glock-18,Fade,561,83.02342,848
Glock-18,Fade,890,88.81728,555
Glock-18,Fade,605,84.157196,792
Glock-18,Fade,324,96.29349,196
Glock-18,Fade,648,99.437584,34
Glock-18,Fade,596,95.30395,252
Glock-18,Fade,214,92.31116,389
Glock-18,Fade,942,94.973274,262
Glock-18,Fade,195,82.98522,849
Glock-18,Fade,494,99.26756,46
Glock-18,Fade,256,99.45271,31
Glock-18,Fade,112,81.14108,944
Glock-18,Fade,335,84.83561,758
Glock-18,Fade,516,82.08818,889
Glock-18,Fade,916,95.21056,256
Glock-18,Fade,86,91.613655,419
Glock-18,Fade,92,90.45326,481
Glock-18,Fade,772,88.34162,579
Glock-18,Fade,463,84.15346,794
Glock-18,Fade,201,99.24156,48
Glock-18,Fade,730,86.37498,680
Glock-18,Fade,512,94.36307,289
Glock-18,Fade,768,90.73813,464
M4A1-S,Fade,32,84.93112,735
M4A1-S,Fade,368,98.214,84
M4A1-S,Fade,137,95.45775,206
M4A1-S,Fade,697,91.79226,384
M4A1-S,Fade,929,89.82373,481
M4A1-S,Fade,145,89.96914,476
M4A1-S,Fade,166,81.91736,873
M4A1-S,Fade,199,90.649055,436
M4A1-S,Fade,129,86.8506,606
M4A1-S,Fade,425,98.70204,61
M4A1-S,Fade,198,96.73139,164
M4A1-S,Fade,785,99.367065,23
M4A1-S,Fade,724,92.732895,336
M4A1-S,Fade,269,80.62523,930
M4A1-S,Fade,72,90.872505,424
M4A1-S,Fade,398,85.19951,718
M4A1-S,Fade,997,93.32577,309
M4A1-S,Fade,279,99.96162,2
M4A1-S,Fade,838,81.20602,902
M4A1-S,Fade,240,80.39466,949
M4A1-S,Fade,63,80.32619,961
M4A1-S,Fade,914,90.42802,452
M4A1-S,Fade,290,81.21919,900
M4A1-S,Fade,872,97.333374,140
M4A1-S,Fade,278,98.47475,76
M4A1-S,Fade,652,98.95623,40
M4A1-S,Fade,217,87.94694,563
M4A1-S,Fade,108,98.184326,87
M4A1-S,Fade,970,86.03331,661
M4A1-S,Fade,474,98.07431,97
M4A1-S,Fade,723,86.2726,638
M4A1-S,Fade,229,96.059616,190
M4A1-S,Fade,739,80.0,1001
M4A1-S,Fade,71,87.270645,585
M4A1-S,Fade,347,96.13536,186
M4A1-S,Fade,281,94.810585,236
M4A1-S,Fade,900,82.310974,845
M4A1-S,Fade,781,92.609406,339
M4A1-S,Fade,374,100.0,1
M4A1-S,Fade,626,96.39758,176
M4A1-S,Fade,573,95.65973,201
M4A1-S,Fade,653,89.26044,514
M4A1-S,Fade,173,84.23077,769
M4A1-S,Fade,795,98.18573,86
M4A1-S,Fade,690,98.483185,73
M4A1-S,Fade,446,97.47806,129
M4A1-S,Fade,746,87.53853,576
M4A1-S,Fade,73,99.80671,7
M4A1-S,Fade,858,82.099144,863
M4A1-S,Fade,467,99.33837,25
M4A1-S,Fade,245,99.158005,30
M4A1-S,Fade,211,92.064,372
M4A1-S,Fade,218,91.44326,404
M4A1-S,Fade,80,99.94479,3
M4A1-S,Fade,670,98.000565,102
M4A1-S,Fade,792,89.43882,509
M4A1-S,Fade,911,89.91335,478
M4A1-S,Fade,41,97.040016,150
M4A1-S,Fade,915,98.8901,46
M4A1-S,Fade,241,96.816925,155
M4A1-S,Fade,731,98.74005,55
M4A1-S,Fade,274,86.86566,603
M4A1-S,Fade,716,94.59965,247
M4A1-S,Fade,648,98.114105,94
M4A1-S,Fade,643,91.84824,378
M4A1-S,Fade,843,92.95009,325
M4A1-S,Fade,572,91.16169,411
M4A1-S,Fade,11,80.37402,952
M4A1-S,Fade,852,87.86195,567
M4A1-S,Fade,168,97.18483,143
M4A1-S,Fade,1,88.32783,548
M4A1-S,Fade,919,95.74128,196
M4A1-S,Fade,617,94.861435,234
M4A1-S,Fade,352,99.1204,31
M4A1-S,Fade,305,80.985985,911
M4A1-S,Fade,28,86.98011,600
M4A1-S,Fade,282,80.50976,938
M4A1-S,Fade,968,94.07958,276
M4A1-S,Fade,391,98.16715,89
M4A1-S,Fade,718,89.10559,522
M4A1-S,Fade,563,97.277435,142
M4A1-S,Fade,9,83.860916,783
M4A1-S,Fade,99,97.45953,131
M4A1-S,Fade,64,97.033226,151
M4A1-S,Fade,0,88.32783,548
M4A1-S,Fade,565,99.22252,26
M4A1-S,Fade,952,97.92743,105
M4A1-S,Fade,243,94.35709,257
M4A1-S,Fade,735,97.43385,133
M4A1-S,Fade,112,99.063736,33
M4A1-S,Fade,423,82.74439,825
M4A1-S,Fade,410,98.4038,77
M4A1-S,Fade,84,92.94563,327
M4A1-S,Fade,702,98.09811,96
M4A1-S,Fade,30,80.81571,923
M4A1-S,Fade,118,93.039795,320
M4A1-S,Fade,371,90.21651,460
M4A1-S,Fade,39,84.71739,750
M4A1-S,Fade,711,92.3488,356
M4A1-S,Fade,260,92.35336,355
M4A1-S,Fade,879,90.367676,457
M4A1-S,Fade,864,95.048744,225
M4A1-S,Fade,375,80.03919,996
M4A1-S,Fade,819,97.48617,128
M4A1-S,Fade,257,89.80955,482
M4A1-S,Fade,146,87.48349,580
M4A1-S,Fade,292,99.166595,27
M4A1-S,Fade,95,94.64101,245
M4A1-S,Fade,957,99.37984,22
M4A1-S,Fade,182,80.04665,995
M4A1-S,Fade,406,93.681076,294
M4A1-S,Fade,50,82.19946,850
M4A1-S,Fade,557,86.304886,635
M4A1-S,Fade,895,99.425125,19
M4A1-S,Fade,369,94.56123,249
M4A1-S,Fade,709,80.502,939
M4A1-S,Fade,307,99.56238,14
M4A1-S,Fade,38,94.771034,238
M4A1-S,Fade,344,97.91756,106
M4A1-S,Fade,671,84.90758,739
M4A1-S,Fade,846,98.4839,72
M4A1-S,Fade,866,85.88171,667
M4A1-S,Fade,689,86.0865,657
M4A1-S,Fade,774,99.778824,9
M4A1-S,Fade,169,88.492935,542
M4A1-S,Fade,313,84.159454,773
M4A1-S,Fade,574,88.38308,544
M4A1-S,Fade,804,92.09388,368
M4A1-S,Fade,699,95.686554,200
M4A1-S,Fade,382,99.80141,8
M4A1-S,Fade,140,99.07493,32
M4A1-S,Fade,372,84.4616,760
M4A1-S,Fade,463,99.46844,16
M4A1-S,Fade,602,97.38234,138
M4A1-S,Fade,756,97.68108,120
M4A1-S,Fade,350,96.77411,159
M4A1-S,Fade,484,94.672516,242
M4A1-S,Fade,287,89.75042,487
M4A1-S,Fade,958,95.33431,211
M4A1-S,Fade,575,98.739334,56
M4A1-S,Fade,933,85.81857,674
M4A1-S,Fade,500,94.17046,265
M4A1-S,Fade,647,83.03397,811
M4A1-S,Fade,580,85.23452,716
M4A1-S,Fade,512,88.23057,553
M4A1-S,Fade,833,81.83635,875
M4A1-S,Fade,518,99.03207,34
M4A1-S,Fade,443,82.35455,844
M4A1-S,Fade,692,98.4965,70
M4A1-S,Fade,322,90.4741,448
M4A1-S,Fade,562,81.38285,892
M4A1-S,Fade,664,80.3411,958
M4A1-S,Fade,713,86.34563,632
M4A1-S,Fade,480,93.60719,298
M4A1-S,Fade,660,90.83957,427
M4A1-S,Fade,790,96.29458,179
M4A1-S,Fade,559,94.2385,260
M4A1-S,Fade,863,92.149376,366
M4A1-S,Fade,262,80.337975,959
M4A1-S,Fade,727,90.25593,459
M4A1-S,Fade,468,98.232574,82
M4A1-S,Fade,539,94.16635,266
M4A1-S,Fade,551,91.74697,386
M4A1-S,Fade,33,94.09856,275
M4A1-S,Fade,491,81.484886,887
M4A1-S,Fade,87,93.03602,321
M4A1-S,Fade,818,94.607475,246
M4A1-S,Fade,92,88.181885,556
M4A1-S,Fade,110,99.39958,21
M4A1-S,Fade,59,95.00727,228
M4A1-S,Fade,161,91.33318,408
M4A1-S,Fade,361,90.19601,463
M4A1-S,Fade,478,99.03084,35
M4A1-S,Fade,379,94.134056,270
M4A1-S,Fade,414,91.01042,419
M4A1-S,Fade,886,96.428185,173
M4A1-S,Fade,224,94.89777,232
M4A1-S,Fade,637,90.45322,450
M4A1-S,Fade,270,80.9482,917
M4A1-S,Fade,485,80.40533,947
M4A1-S,Fade,324,95.69138,199
M4A1-S,Fade,280,97.81442,112
M4A1-S,Fade,131,97.146286,145
M4A1-S,Fade,190,89.47563,506
M4A1-S,Fade,139,88.63151,536
M4A1-S,Fade,511,98.69416,62
M4A1-S,Fade,577,96.96416,152
M4A1-S,Fade,658,85.57851,690
M4A1-S,Fade,165,95.26864,215
M4A1-S,Fade,100,97.97122,104
M4A1-S,Fade,636,91.52301,400
M4A1-S,Fade,620,97.42991,135
M4A1-S,Fade,167,80.23052,971
M4A1-S,Fade,384,91.2749,409
M4A1-S,Fade,354,84.433174,762
M4A1-S,Fade,148,98.99405,37
M4A1-S,Fade,312,98.82841,50
M4A1-S,Fade,96,92.32015,360
M4A1-S,Fade,909,91.553856,397
M4A1-S,Fade,360,99.16195,28
M4A1-S,Fade,78,80.01949,999
M4A1-S,Fade,612,86.10351,654
M4A1-S,Fade,998,93.03282,322
M4A1-S,Fade,988,89.54073,502
M4A1-S,Fade,924,91.57096,396
M4A1-S,Fade,552,92.92143,329
M4A1-S,Fade,832,93.30284,313
M4A1-S,Fade,640,82.52478,834
M4A1-S,Fade,796,91.119995,412
M4A1-S,Fade,683,89.77187,485
M4A1-S,Fade,65,92.50642,347
M4A1-S,Fade,977,93.644005,296
M4A1-S,Fade,318,81.48146,889
M4A1-S,Fade,542,80.27059,967
M4A1-S,Fade,646,80.17493,976
M4A1-S,Fade,783,99.66517,12
M4A1-S,Fade,508,97.62834,124
M4A1-S,Fade,504,88.60913,537
M4A1-S,Fade,283,81.18169,904
M4A1-S,Fade,403,95.38636,208
M4A1-S,Fade,761,80.45416,943
M4A1-S,Fade,946,98.8535,48
M4A1-S,Fade,132,92.88852,331
M4A1-S,Fade,333,93.561554,302
M4A1-S,Fade,701,89.6019,495
M4A1-S,Fade,694,95.01064,227
M4A1-S,Fade,285,86.04529,660
M4A1-S,Fade,113,97.34236,139
M4A1-S,Fade,703,86.08937,656
M4A1-S,Fade,345,98.17612,88
M4A1-S,Fade,776,80.37391,953
M4A1-S,Fade,482,91.80857,383
M4A1-S,Fade,383,97.64351,122
M4A1-S,Fade,870,98.81584,51
M4A1-S,Fade,314,88.35248,546
M4A1-S,Fade,70,81.48247,888
M4A1-S,Fade,321,93.324486,310
M4A1-S,Fade,604,91.6724,390
M4A1-S,Fade,180,86.92707,601
M4A1-S,Fade,57,99.43167,18
M4A1-S,Fade,807,98.01185,101
M4A1-S,Fade,29,82.143234,856
M4A1-S,Fade,715,98.761314,54
M4A1-S,Fade,609,86.31847,634
M4A1-S,Fade,865,80.3585,957
M4A1-S,Fade,763,83.22745,806
M4A1-S,Fade,415,85.13809,724
M4A1-S,Fade,237,95.31782,213
M4A1-S,Fade,526,83.5843,791
M4A1-S,Fade,450,85.27531,714
M4A1-S,Fade,757,97.12343,147
M4A1-S,Fade,437,84.20468,771
M4A1-S,Fade,107,98.73718,59
M4A1-S,Fade,12,96.95743,153
M4A1-S,Fade,688,84.154625,774
M4A1-S,Fade,223,93.91803,283
M4A1-S,Fade,142,95.157486,220
M4A1-S,Fade,613,99.354294,24
M4A1-S,Fade,18,87.24488,589
M4A1-S,Fade,905,89.85394,480
M4A1-S,Fade,210,98.84627,49
M4A1-S,Fade,737,94.813736,235
M4A1-S,Fade,812,85.52284,694
M4A1-S,Fade,972,98.51227,69
M4A1-S,Fade,897,98.12356,93
M4A1-S,Fade,221,86.48619,621
M4A1-S,Fade,708,89.17435,518
M4A1-S,Fade,194,95.350716,210
M4A1-S,Fade,228,91.0737,414
M4A1-S,Fade,759,98.688896,64
M4A1-S,Fade,594,80.22276,972
M4A1-S,Fade,720,90.94894,423
M4A1-S,Fade,264,82.185356,851
M4A1-S,Fade,536,90.62327,439
M4A1-S,Fade,550,98.54139,68
M4A1-S,Fade,359,85.072365,730
M4A1-S,Fade,351,82.42167,840
M4A1-S,Fade,638,91.80929,382
M4A1-S,Fade,56,90.17,465
M4A1-S,Fade,346,96.41335,174
M4A1-S,Fade,582,98.061676,98
M4A1-S,Fade,685,82.11448,858
M4A1-S,Fade,825,89.67213,492
M4A1-S,Fade,432,98.721756,60
M4A1-S,Fade,412,86.80296,609
M4A1-S,Fade,441,99.89212,4
M4A1-S,Fade,584,98.89139,45
M4A1-S,Fade,509,95.188705,218
M4A1-S,Fade,120,82.9753,813
M4A1-S,Fade,315,85.39083,705
M4A1-S,Fade,802,80.03143,998
M4A1-S,Fade,45,94.24994,259
M4A1-S,Fade,98,84.78894,747
M4A1-S,Fade,209,98.89622,44
M4A1-S,Fade,827,89.00265,525
M4A1-S,Fade,603,98.48769,71
M4A1-S,Fade,212,94.192,263
M4A1-S,Fade,883,92.81485,332
M4A1-S,Fade,141,83.83405,785
M4A1-S,Fade,890,82.57104,832
M4A1-S,Fade,994,85.30109,712
M4A1-S,Fade,797,93.15814,318
M4A1-S,Fade,83,83.979675,781
M4A1-S,Fade,89,96.19304,184
M4A1-S,Fade,404,93.29972,314
M4A1-S,Fade,595,81.63649,881
M4A1-S,Fade,271,80.13486,981
M4A1-S,Fade,380,82.75004,823
M4A1-S,Fade,555,99.69189,11
M4A1-S,Fade,195,83.569534,792
M4A1-S,Fade,470,92.37503,353
M4A1-S,Fade,780,81.209564,901
M4A1-S,Fade,159,85.390114,706
M4A1-S,Fade,733,83.75062,790
M4A1-S,Fade,244,81.78401,876
M4A1-S,Fade,906,88.85927,529
M4A1-S,Fade,514,89.59477,496
M4A1-S,Fade,493,97.834076,110
M4A1-S,Fade,123,83.41781,801
M4A1-S,Fade,917,80.31067,964
M4A1-S,Fade,674,97.8842,109
M4A1-S,Fade,742,85.13611,726
M4A1-S,Fade,745,87.62719,573
M4A1-S,Fade,487,95.3254,212
M4A1-S,Fade,721,86.139275,649
M4A1-S,Fade,397,88.84522,530
M4A1-S,Fade,74,86.74151,613
M4A1-S,Fade,179,81.03008,909
M4A1-S,Fade,396,96.668526,165
M4A1-S,Fade,158,80.83205,922
M4A1-S,Fade,873,99.757774,10
M4A1-S,Fade,128,96.048416,191
M4A1-S,Fade,192,80.41899,944
M4A1-S,Fade,967,85.609856,689
M4A1-S,Fade,743,90.1714,464
M4A1-S,Fade,588,86.57403,619
M4A1-S,Fade,82,92.90899,330
M4A1-S,Fade,13,94.51316,250
M4A1-S,Fade,593,92.76142,333
M4A1-S,Fade,923,96.21101,181
M4A1-S,Fade,393,98.051544,99
M4A1-S,Fade,520,84.68665,751
M4A1-S,Fade,925,91.830086,379
M4A1-S,Fade,206,80.25531,970
M4A1-S,Fade,114,92.41242,351
M4A1-S,Fade,586,85.13539,727
M4A1-S,Fade,798,80.066414,992
M4A1-S,Fade,134,84.9813,734
M4A1-S,Fade,293,87.48604,579
M4A1-S,Fade,109,95.38243,209
M4A1-S,Fade,216,96.74563,161
M4A1-S,Fade,940,88.94844,526
M4A1-S,Fade,449,99.53529,15
M4A1-S,Fade,822,85.67952,683
M4A1-S,Fade,296,83.14904,807
M4A1-S,Fade,928,93.667305,295
M4A1-S,Fade,175,82.25876,848
M4A1-S,Fade,259,82.57917,831
M4A1-S,Fade,251,98.66356,65
M4A1-S,Fade,769,95.592186,202
M4A1-S,Fade,564,98.92064,43
M4A1-S,Fade,395,91.54577,398
M4A1-S,Fade,750,80.07927,990
M4A1-S,Fade,381,81.68047,879
M4A1-S,Fade,444,81.48556,886
M4A1-S,Fade,236,98.796936,53
M4A1-S,Fade,172,98.94702,42
M4A1-S,Fade,16,85.91422,666
M4A1-S,Fade,748,82.4844,835
M4A1-S,Fade,357,96.645874,166
M4A1-S,Fade,592,84.42855,763
M4A1-S,Fade,986,95.58848,203
M4A1-S,Fade,503,88.792274,532
M4A1-S,Fade,538,97.40602,137
M4A1-S,Fade,37,88.53106,540
M4A1-S,Fade,887,81.003395,910
M4A1-S,Fade,214,90.44052,451
M4A1-S,Fade,642,82.46179,837
M4A1-S,Fade,661,86.33205,633
M4A1-S,Fade,644,97.12781,146
M4A1-S,Fade,35,97.44053,132
M4A1-S,Fade,576,99.45503,17
M4A1-S,Fade,81,92.58409,340
M4A1-S,Fade,394,85.38478,707
M4A1-S,Fade,183,81.33369,895
M4A1-S,Fade,14,97.15588,144
M4A1-S,Fade,147,82.634544,828
M4A1-S,Fade,343,84.80505,745
M4A1-S,Fade,164,97.904686,108
M4A1-S,Fade,662,81.982376,871
M4A1-S,Fade,741,94.101006,273
M4A1-S,Fade,434,92.32929,357
M4A1-S,Fade,61,90.60164,440
M4A1-S,Fade,36,96.34488,178
M4A1-S,Fade,888,93.30952,312
M4A1-S,Fade,362,98.33212,78
M4A1-S,Fade,738,82.0943,866
M4A1-S,Fade,103,97.71268,115
M4A1-S,Fade,675,96.076614,188
M4A1-S,Fade,419,98.73862,57
M4A1-S,Fade,289,89.555405,500
M4A1-S,Fade,255,94.031425,278
M4A1-S,Fade,954,97.69199,117
M4A1-S,Fade,439,81.40909,891
M4A1-S,Fade,639,94.16373,267
M4A1-S,Fade,4,82.15568,855
M4A1-S,Fade,429,98.48019,75
M4A1-S,Fade,323,80.08703,989
M4A1-S,Fade,666,99.878654,5
M4A1-S,Fade,618,87.100945,594
M4A1-S,Fade,51,88.186775,555
M4A1-S,Fade,203,88.50047,541
M4A1-S,Fade,810,92.746124,334
M4A1-S,Fade,201,89.708145,490
M4A1-S,Fade,534,98.48247,74
M4A1-S,Fade,621,91.162155,410
M4A1-S,Fade,197,96.44418,172
M4A1-S,Fade,149,94.06923,277
M4A1-S,Fade,266,95.97147,194
M4A1-S,Fade,356,96.20227,182
M4A1-S,Fade,188,81.64369,880
M4A1-S,Fade,856,90.087135,471
M4A1-S,Fade,926,99.160965,29
M4A1-S,Fade,366,96.36698,177
M4A1-S,Fade,936,97.46843,130
M4A1-S,Fade,995,95.701805,198
M4A1-S,Fade,937,80.31119,963
M4A1-S,Fade,90,94.964264,229
M4A1-S,Fade,405,91.023125,418
M4A1-S,Fade,527,87.82113,568
M4A1-S,Fade,451,97.91362,107
M4A1-S,Fade,156,99.42425,20
M4A1-S,Fade,304,98.99477,36
M4A1-S,Fade,959,98.886566,47
M4A1-S,Fade,752,94.100624,274
M4A1-S,Fade,88,97.7099,116
M4A1-S,Fade,294,80.75347,927
M4A1-S,Fade,645,82.26636,846
M4A1-S,Fade,365,96.81203,156
M4A1-S,Fade,303,86.657104,616
M4A1-S,Fade,295,85.23574,715
M4A1-S,Fade,86,98.197784,85
M4A1-S,Fade,540,91.476105,403
M4A1-S,Fade,510,92.155914,365
M4A1-S,Fade,297,86.79902,611
M4A1-S,Fade,971,93.73454,291
M4A1-S,Fade,854,82.38423,841
M4A1-S,Fade,862,91.58707,395
M4A1-S,Fade,349,94.461,255
M4A1-S,Fade,459,90.67966,434
M4A1-S,Fade,679,92.066154,369
M4A1-S,Fade,786,99.86195,6
M4A1-S,Fade,130,80.03307,997
M4A1-S,Fade,632,85.42775,699
M4A1-S,Fade,483,90.14173,467
M4A1-S,Fade,871,86.83811,607
M4A1-S,Fade,828,88.03589,562
M4A1-S,Fade,654,96.22328,180
M4A1-S,Fade,476,84.84806,742
M4A1-S,Fade,60,80.20183,974
M4A1-S,Fade,506,89.37824,512
M4A1-S,Fade,784,82.01071,870
M4A1-S,Fade,227,81.0997,906
M4A1-S,Fade,26,80.00591,1000
M4A1-S,Fade,894,84.65321,754
M4A1-S,Fade,25,84.12055,776
M4A1-S,Fade,301,86.85754,604
M4A1-S,Fade,196,96.561485,168
M4A1-S,Fade,411,98.10342,95
M4A1-S,Fade,254,91.59637,394
M4A1-S,Fade,85,84.76767,748
M4A1-S,Fade,454,85.169876,720
M4A1-S,Fade,767,88.11326,558
M4A1-S,Fade,844,82.070435,868
M4A1-S,Fade,549,80.764305,926
