weapon,skin,wear,float,pattern,stattrak,price,phase,backside_blue,backside_purple,backside_gold,playside_blue,playside_purple,playside_gold,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
Karambit,Case Hardened,Factory New,0.0125106321647763,777,0,3791.9,,0.02,0.82,99.15,32.48,16.61,50.91,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.056661567418762784,688,0,2437.82,,0.16,0.12,99.72,34.94,8.85,56.21,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0550566315650939,42,0,3800.0,,2.87,2.21,94.92,53.51,20.59,25.9,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.06816187844479718,42,0,3850.03,,2.87,2.21,94.92,53.51,20.59,25.9,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.06538014116850885,42,0,3744.72,,2.87,2.21,94.92,53.51,20.59,25.9,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.07388455254089003,42,0,3949.39,,2.87,2.21,94.92,53.51,20.59,25.9,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0636534020304679,694,0,6040.76,,26.01,13.45,60.54,66.13,4.34,29.53,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.07478874191341837,694,0,5856.3,,26.01,13.45,60.54,66.13,4.34,29.53,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.06232224217954927,694,0,5765.18,,26.01,13.45,60.54,66.13,4.34,29.53,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.04982498171316982,694,0,6151.34,,26.01,13.45,60.54,66.13,4.34,29.53,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0134218595921993,231,0,15103.14,,0.17,1.2,98.63,0.41,5.79,93.8,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.023212345828511984,231,0,15809.23,,0.17,1.2,98.63,0.41,5.79,93.8,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0064548739177253765,231,0,14907.49,,0.17,1.2,98.63,0.41,5.79,93.8,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.012204092043231618,231,0,14634.14,,0.17,1.2,98.63,0.41,5.79,93.8,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0507968254387378,69,0,81079.66,,18.3,12.21,69.48,0.16,0.84,99.0,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.035993685652156666,69,0,80882.68,,18.3,12.21,69.48,0.16,0.84,99.0,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.03987319940077316,69,0,82456.51,,18.3,12.21,69.48,0.16,0.84,99.0,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.04828290219363103,69,0,83777.0,,18.3,12.21,69.48,0.16,0.84,99.0,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0051063923165202,325,0,4491.71,,14.3,16.58,69.12,34.53,8.12,57.36,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.013116996396610164,325,0,4407.43,,14.3,16.58,69.12,34.53,8.12,57.36,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.01839678437232824,325,0,4628.6,,14.3,16.58,69.12,34.53,8.12,57.36,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0006055274777271788,325,0,4396.63,,14.3,16.58,69.12,34.53,8.12,57.36,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0089987609535455,4,0,28900.0,,72.32,4.43,23.25,74.15,6.91,18.94,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.016298581112544522,4,0,27858.88,,72.32,4.43,23.25,74.15,6.91,18.94,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0,4,0,27476.28,,72.32,4.43,23.25,74.15,6.91,18.94,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.02047573605363103,4,0,29376.42,,72.32,4.43,23.25,74.15,6.91,18.94,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0579822063446044,449,0,2700.0,,41.23,6.34,52.44,4.32,1.09,94.59,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.06618882148965781,449,0,2775.8,,41.23,6.34,52.44,4.32,1.09,94.59,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.056338837366138,449,0,2718.56,,41.23,6.34,52.44,4.32,1.09,94.59,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.043574086269710696,449,0,2595.92,,41.23,6.34,52.44,4.32,1.09,94.59,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.005861195269972,34,0,25000.0,,25.63,10.19,64.18,74.8,2.57,22.63,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.012597313741590864,34,0,24927.74,,25.63,10.19,64.18,74.8,2.57,22.63,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.008470639529219552,34,0,25662.5,,25.63,10.19,64.18,74.8,2.57,22.63,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.01124992806999563,34,0,25133.95,,25.63,10.19,64.18,74.8,2.57,22.63,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0391214862465858,246,0,7500.0,,67.77,10.9,21.33,49.96,23.68,26.37,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.04148977267640234,246,0,7352.96,,67.77,10.9,21.33,49.96,23.68,26.37,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.020354199629303373,246,0,7452.54,,67.77,10.9,21.33,49.96,23.68,26.37,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.027704873159366965,246,0,7431.4,,67.77,10.9,21.33,49.96,23.68,26.37,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0420309007167816,283,0,4908.59,,27.03,9.86,63.11,50.47,4.12,45.41,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.05616702364750825,283,0,4777.99,,27.03,9.86,63.11,50.47,4.12,45.41,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.02436301038434424,283,0,4801.28,,27.03,9.86,63.11,50.47,4.12,45.41,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.03377465102744895,283,0,4988.07,,27.03,9.86,63.11,50.47,4.12,45.41,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0233422797173261,139,0,10000.0,,9.67,3.2,87.13,74.02,7.01,18.97,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.02562356581097723,139,0,10283.9,,9.67,3.2,87.13,74.02,7.01,18.97,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0299148213304216,139,0,9906.39,,9.67,3.2,87.13,74.02,7.01,18.97,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.03590309510396748,139,0,9666.97,,9.67,3.2,87.13,74.02,7.01,18.97,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.0374613478779792,499,1,4890.0,,0.7,13.94,85.36,64.74,4.89,30.38,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ StatTrak™ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.018369830803333622,499,1,4689.53,,0.7,13.94,85.36,64.74,4.89,30.38,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ StatTrak™ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.04635572190183722,499,1,4871.36,,0.7,13.94,85.36,64.74,4.89,30.38,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ StatTrak™ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Factory New,0.023912219039323272,499,1,4890.51,,0.7,13.94,85.36,64.74,4.89,30.38,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ StatTrak™ Karambit | Case Hardened (Factory New)
Karambit,Case Hardened,Minimal Wear,0.1483853161334991,970,0,1000.0,,8.54,8.32,83.14,45.66,6.56,47.78,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.13447780024202582,970,0,1019.63,,8.54,8.32,83.14,45.66,6.56,47.78,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.14623156715646032,970,0,988.1,,8.54,8.32,83.14,45.66,6.56,47.78,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.14044579969941415,970,0,1013.03,,8.54,8.32,83.14,45.66,6.56,47.78,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.0960538759827613,204,0,1059.99,,45.68,4.72,49.59,16.97,4.77,78.26,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.09052638040489691,204,0,1016.28,,45.68,4.72,49.59,16.97,4.77,78.26,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.08077411206758191,204,0,1108.95,,45.68,4.72,49.59,16.97,4.77,78.26,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.11239710361106559,204,0,1081.16,,45.68,4.72,49.59,16.97,4.77,78.26,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1469953656196594,633,0,895.21,,0.69,5.73,93.58,10.37,11.42,78.22,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.13763016407804018,633,0,937.21,,0.69,5.73,93.58,10.37,11.42,78.22,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.15814540177829117,633,0,914.63,,0.69,5.73,93.58,10.37,11.42,78.22,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.14496982570541095,633,0,874.82,,0.69,5.73,93.58,10.37,11.42,78.22,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1234358102083206,941,0,970.0,,17.0,7.09,75.91,1.0,0.45,98.55,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.10729144869446058,941,0,1009.05,,17.0,7.09,75.91,1.0,0.45,98.55,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.12166686180166505,941,0,941.13,,17.0,7.09,75.91,1.0,0.45,98.55,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1156740751743467,941,0,977.68,,17.0,7.09,75.91,1.0,0.45,98.55,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.0805076286196708,811,0,11000.0,,49.21,2.63,48.17,77.83,8.16,14.01,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.06757853993724007,811,0,11392.28,,49.21,2.63,48.17,77.83,8.16,14.01,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.0908484098130792,811,0,11241.41,,49.21,2.63,48.17,77.83,8.16,14.01,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.07779135021067494,811,0,11140.04,,49.21,2.63,48.17,77.83,8.16,14.01,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1039653569459915,189,0,1963.56,,26.0,12.85,61.15,33.03,12.37,54.6,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.10732927570250092,189,0,1992.98,,26.0,12.85,61.15,33.03,12.37,54.6,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.08734312979158707,189,0,1947.03,,26.0,12.85,61.15,33.03,12.37,54.6,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.0856299239004672,189,0,1962.38,,26.0,12.85,61.15,33.03,12.37,54.6,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1286894977092743,221,0,925.99,,17.56,3.17,79.26,0.43,1.74,97.83,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1218839462025857,221,0,893.07,,17.56,3.17,79.26,0.43,1.74,97.83,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.11282561641817636,221,0,934.11,,17.56,3.17,79.26,0.43,1.74,97.83,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.11551321645074973,221,0,965.36,,17.56,3.17,79.26,0.43,1.74,97.83,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.0947600677609443,598,0,2500.0,,66.5,5.83,27.67,56.32,1.31,42.37,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.0980025133489601,598,0,2461.72,,66.5,5.83,27.67,56.32,1.31,42.37,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.09839668742020097,598,0,2380.7,,66.5,5.83,27.67,56.32,1.31,42.37,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.11310243629060211,598,0,2495.58,,66.5,5.83,27.67,56.32,1.31,42.37,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1069938242435455,842,0,1129.0,,10.37,2.44,87.2,38.88,7.79,53.33,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.11830323333355695,842,0,1081.89,,10.37,2.44,87.2,38.88,7.79,53.33,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.10646015747707192,842,0,1127.95,,10.37,2.44,87.2,38.88,7.79,53.33,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.12450688244254482,842,0,1137.1,,10.37,2.44,87.2,38.88,7.79,53.33,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1350530683994293,968,0,1121.77,,25.92,4.47,69.62,16.74,12.46,70.8,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.13399264444170744,968,0,1095.63,,25.92,4.47,69.62,16.74,12.46,70.8,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.12831582829313137,968,0,1124.09,,25.92,4.47,69.62,16.74,12.46,70.8,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.13260952681163116,968,0,1068.11,,25.92,4.47,69.62,16.74,12.46,70.8,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1142038106918335,243,0,3333.33,,30.22,13.93,55.85,38.21,8.69,53.11,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1272554876596078,243,0,3465.38,,30.22,13.93,55.85,38.21,8.69,53.11,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.09981377425177793,243,0,3351.34,,30.22,13.93,55.85,38.21,8.69,53.11,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.09854684033725124,243,0,3390.74,,30.22,13.93,55.85,38.21,8.69,53.11,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1174749657511711,582,0,1025.25,,2.19,2.64,95.18,23.7,12.21,64.09,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.10872431710473143,582,0,1041.59,,2.19,2.64,95.18,23.7,12.21,64.09,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1265547503226464,582,0,1052.79,,2.19,2.64,95.18,23.7,12.21,64.09,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.10178460358940697,582,0,1067.9,,2.19,2.64,95.18,23.7,12.21,64.09,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.1026544496417045,116,0,1250.5,,30.98,2.22,66.8,48.28,13.32,38.4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.09186300927749974,116,0,1192.65,,30.98,2.22,66.8,48.28,13.32,38.4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.10484854841736384,116,0,1234.36,,30.98,2.22,66.8,48.28,13.32,38.4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
Karambit,Case Hardened,Minimal Wear,0.11584603936700102,116,0,1289.05,,30.98,2.22,66.8,48.28,13.32,38.4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Case Hardened (Minimal Wear)
